Name,Author,CC0,BY,NC,SA,ND,CustomLicense,Link,Source,BPM,Time,Vocal,Drums(>50% of the time),Main Instrument,Generation(?),Feeling
ğ™­ğ˜¢ğ’‘ğ’‰ğ’ğ™¤ğ˜¯,Apoxode,0,1,1,0,0,0,http://dig.ccmixter.org/files/Apoxode/64319,CC Mixter,-1,3:33,0,1,?,?,æ‚ é—²ï¼Œé‡å¤
Action Introduction,Komiku,1,0,0,0,0,0,https://freepd.com/Page2/music/Action%20Introduction.mp3,FreePD,,2:40,,,,,
Prefunk Loop,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/Page2/music/Prefunk%20Loop.mp3,FreePD,,0:20,,,,,
Popcorn Slider Loop,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/Page2/music/Popcorn%20Slider%20Loop.mp3,FreePD,,0:26,,,,,
Overt Intimidation Loop,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/Page2/music/Overt%20Intimidation%20Loop.mp3,FreePD,,0:36,,,,,
Induced Insanity Loop,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/Page2/music/Induced%20Insanity%20Loop.mp3,FreePD,,0:19,,,,,
Forest Frolic Loop,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/music/Forest%20Frolic%20Loop.mp3,FreePD,,0:37,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,